model,target,accuracy,precision (macro),recall (macro),f1-score (macro)
passt_direction,direction,0.9157175398633257,0.8938377364568596,0.8901081648529839,0.8917586071535858
ast_direction,direction,0.835990888382688,0.769931621707578,0.783168295772688,0.7718660418592066
LightGBM_direction,direction,0.7334851936218679,0.6521354371764275,0.638938968547691,0.6433449294111503
XGBoost_direction,direction,0.7061503416856492,0.621297898878365,0.5916850402235494,0.6041568643949536
RandomForest_direction,direction,0.7015945330296127,0.6034475310279972,0.6018113455091494,0.5997298410444011
SVM_direction,direction,0.6264236902050114,0.4819480309006224,0.4836213379362158,0.47816336130875997
KNN_direction,direction,0.5876993166287016,0.38167036757723033,0.44927857426823836,0.3776837373065575
passt_distance,distance,0.9931662870159453,0.9906273620559335,0.9910757523348322,0.990700741273568
ast_distance,distance,0.9726651480637813,0.960640417783275,0.963290974799307,0.9617091612612393
LightGBM_distance,distance,0.856492027334852,0.8249628229412597,0.7828228102904075,0.7996545274891905
RandomForest_distance,distance,0.8473804100227791,0.8366067700834828,0.7617235207464519,0.7878045157842067
XGBoost_distance,distance,0.8428246013667426,0.8045648968256669,0.7448047465993627,0.7670969546945309
SVM_distance,distance,0.7835990888382688,0.7180847204988275,0.6383342835771265,0.6581598895760713
KNN_distance,distance,0.6856492027334852,0.5370362559114228,0.5536285822815907,0.5176336920924853
passt_weapon,weapon,0.9977220956719818,0.9996537396121884,0.9996940024479805,0.9996718297428245
ast_weapon,weapon,0.9886104783599089,0.9983815942849465,0.9934458519512567,0.9956183810677834
LightGBM_weapon,weapon,0.765375854214123,0.6995176537213686,0.6057558366409808,0.6203807230257822
RandomForest_weapon,weapon,0.744874715261959,0.8229092007923278,0.586802127065838,0.6470239112376891
XGBoost_weapon,weapon,0.7015945330296127,0.7976366839441225,0.5037450517634043,0.5865165102213542
KNN_weapon,weapon,0.46924829157175396,0.21119851732430378,0.2404700914570626,0.21251697854113508
SVM_weapon,weapon,0.45558086560364464,0.07833288325636313,0.09969296638583333,0.08475566837275982
